location,size,total_sqft,bath,price,bhk,price_per_sqft
Kanakpura Road,2 BHK,700,2,36,2,5142.857143
Electronics City Phase 1,2 BHK,1070,2,45.5,2,4252.336449
Kundalahalli,3 BHK,1724,3,125,3,7250.580046
Chikkalasandra,3 BHK,1290,2,56.12,3,4350.387597
Uttarahalli,2 BHK,1143,2,45,2,3937.007874
Murugeshpalya,2 BHK,1296,2,81,2,6250
Sarjapur  Road,3 BHK,1254,3,38,3,3030.30303
Ganga Nagar,1 BHK,600,1,38,1,6333.333333
Yelahanka,1 Bedroom,660,1,48,1,7272.727273
Kanakpura Road,2 BHK,1330.74,2,91.79,2,6897.66596
HSR Layout,8 Bedroom,600,9,200,8,33333.33333
Doddathoguru,2 BHK,970,2,33,2,3402.061856
Whitefield,2 BHK,1459,2,94.82,2,6498.971899
KR Puram,2 Bedroom,800,1,130,2,16250
Himagiri Meadows,2 BHK,869,2,36,2,4142.69275
Adarsh Nagar,2 BHK,1270,2,50,2,3937.007874
Bhoganhalli,3 BHK,1670,3,99,3,5928.143713
Whitefield,3 BHK,2010,3,91,3,4527.363184
Lakshminarayana Pura,2 BHK,1185,2,75,2,6329.113924
Yelahanka,3 BHK,1600,2,75,3,4687.5
Begur Road,2 BHK,1200,2,44,2,3666.666667
Ramakrishnappa Layout,2 BHK,1500,2,185,2,12333.33333
Murugeshpalya,6 Bedroom,1407,4,150,6,10660.98081
Govindaraja Nagar Ward,2 BHK,840,2,45,2,5357.142857
Tharabanahalli,3 Bedroom,4395,3,240,3,5460.750853
Ganga Nagar,2 BHK,845,2,55,2,6508.87574
Whitefield,4 Bedroom,5700,5,650,4,11403.50877
Varthur,2 BHK,1160,2,44,2,3793.103448
Bommanahalli,8 Bedroom,3000,8,140,8,4666.666667
Doddathoguru,2 BHK,1100,2,62,2,5636.363636
Gunjur,2 BHK,1140,2,43,2,3771.929825
Marathahalli,2 BHK,1220,2,57,2,4672.131148
Devarachikkanahalli,8 Bedroom,1350,7,85,8,6296.296296
Kanakpura Road,2 BHK,1005,2,36.68,2,3649.751244
Double Road,3 Bedroom,500,3,100,3,20000
Begur Road,2 BHK,1358,2,80.58,2,5933.726068
Hegde Nagar,3 BHK,1569,3,101,3,6437.22116
Haralur Road,2 BHK,1240,2,70,2,5645.16129
Hennur Road,3 BHK,2089,3,140,3,6701.771182
Kothannur,2 BHK,1206,2,48.23,2,3999.170813
Kalena Agrahara,2 BHK,1150,2,40,2,3478.26087
Cholanayakanahalli,3 BHK,2511,3,205,3,8164.078057
Kaval Byrasandra,2 BHK,460,1,22,2,4782.608696
ISRO Layout,6 Bedroom,4400,6,250,6,5681.818182
Kodanda Reddy Layout,3 BHK,1660,2,105,3,6325.301205
Yelahanka,2 BHK,1326,2,78,2,5882.352941
Garudachar Palya,3 BHK,1325,2,60.8,3,4588.679245
EPIP Zone,3 BHK,1499,5,102,3,6804.536358
Hegde Nagar,6 Bedroom,3000,7,210,6,7000
Kanakpura Road,3 BHK,1665,3,88,3,5285.285285
Dasanapura,2 BHK,708,2,37,2,5225.988701
Kasavanhalli,2 BHK,1060,2,58.06,2,5477.358491
Rajaji Nagar,6 Bedroom,710,6,160,6,22535.21127
Sanjay nagar,2 BHK,1000,2,70,2,7000
Electronic City,2 BHK,1000,2,28.88,2,2888
 Mysore Highway,3 BHK,1450,2,70,3,4827.586207
ISRO Layout,4 Bedroom,1200,4,155,4,12916.66667
Thanisandra,2 BHK,1296,2,80,2,6172.839506
Domlur,3 BHK,1540,3,90,3,5844.155844
Kengeri,4 Bedroom,2894,4,245,4,8465.791292
Sarjapura - Attibele Road,3 BHK,1330,2,48,3,3609.022556
Devasthanagalu,2 BHK,1200,2,65,2,5416.666667
T Dasarahalli,3 Bedroom,1200,3,90,3,7500
Yeshwanthpur,3 BHK,2502,3,138,3,5515.58753
Chandapura,2 BHK,650,1,17,2,2615.384615
Kothanur,3 Bedroom,2400,2,150,3,6250
Green View Layout,2 BHK,1007,2,43,2,4270.109235
Shantiniketan Layout,2 BHK,1200,2,50,2,4166.666667
Peenya,2 BHK,966,2,49.9,2,5165.63147
Nagarbhavi,3 BHK,1630,2,98,3,6012.269939
Rajaji Nagar,3 BHK,1640,3,229,3,13963.41463
Jalahalli West,2 BHK,782,2,55.68,2,7120.204604
Devanahalli,2 BHK,1260,2,66.78,2,5300
Lakshmiamma Garden,3 BHK,1800,3,120,3,6666.666667
Byatarayanapura,3 BHK,1413,2,75,3,5307.855626
Whitefield,2 BHK,1116,2,51.91,2,4651.433692
Electronic City,3 BHK,1530,2,45.9,3,3000
Ramamurthy Nagar,4 Bedroom,3700,4,225,4,6081.081081
Sarjapur  Road,3 Bedroom,2497,3,140,3,5606.728074
Kengeri,3 BHK,1540,2,64,3,4155.844156
Thanisandra,3 BHK,1436,3,74.75,3,5205.431755
Malleshwaram,2 BHK,1100,2,75,2,6818.181818
Hennur Road,2 Bedroom,276,3,23,2,8333.333333
Thanisandra,3 BHK,1427,3,120,3,8409.250175
Akshaya Nagar,3 BHK,2061,3,200,3,9704.027171
Hebbal,4 BHK,5611.5,4,477,4,8500.400962
Shampura,4 BHK,2650,4,150,4,5660.377358
Devanahalli,3 BHK,1282,2,68.52,3,5344.773791
Kadugodi,2 BHK,1050,2,34,2,3238.095238
LB Shastri Nagar,3 BHK,1600,3,65,3,4062.5
Vajarahalli,2 BHK,945,2,54,2,5714.285714
Hormavu,2 BHK,1500,2,78,2,5200
Vishwapriya Layout,7 Bedroom,950,7,115,7,12105.26316
Peenya,3 BHK,1870,3,110,3,5882.352941
Sarjapur,3 Bedroom,1600,3,75,3,4687.5
Electronic City,2 BHK,880,1,16.5,2,1875
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4,210,4,17500
Kudlu Gate,3 BHK,1535,3,83,3,5407.166124
Kanakpura Road,2 BHK,950,2,57,2,6000
Devanahalli,2 BHK,1360,2,65,2,4779.411765
8th Phase JP Nagar,2 BHK,1073.5,2,54.005,2,5030.740568
Bommasandra Industrial Area,3 BHK,1280,3,50.4,3,3937.5
Chandra Layout,3 BHK,1260,2,85.05,3,6750
Hennur Road,8 Bedroom,5000,8,250,8,5000
Yelahanka,5 BHK,3050,5,213,5,6983.606557
Kasavanhalli,3 BHK,1563.05,3,105,3,6717.635392
ISRO Layout,2 BHK,1000,2,60,2,6000
Anandapura,2 BHK,1167,2,43.76,2,3749.785775
Vishveshwarya Layout,7 BHK,4000,7,225,7,5625
Kothanur,3 BHK,1828,3,110,3,6017.50547
Kengeri Satellite Town,2 BHK,890,2,35,2,3932.58427
Basavanapura,3 BHK,1612,3,46.74,3,2899.503722
Dinnur,6 Bedroom,1034,5,185,6,17891.68279
Mysore Road,3 BHK,1710,4,91.31,3,5339.766082
Kannamangala,2 BHK,957,2,58,2,6060.606061
 Devarachikkanahalli,3 BHK,1250,2,44,3,3520
Sanjeevini Nagar,3 BHK,2795,4,235,3,8407.871199
Hulimavu,2 BHK,1125,2,50,2,4444.444444
Electronic City Phase II,2 BHK,1020,2,30.6,2,3000
Kalena Agrahara,2 BHK,1200,2,50,2,4166.666667
Thanisandra,3 BHK,1735,3,135,3,7780.979827
Thanisandra,3 BHK,2050,3,145,3,7073.170732
Mahalakshmi Layout,4 Bedroom,3750,4,760,4,20266.66667
Yarandahalli,3 BHK,1350,2,48,3,3555.555556
Hosa Road,2 BHK,1063,2,32,2,3010.348071
Keshava Nagar,3 BHK,1904,3,150,3,7878.151261
Whitefield,4 Bedroom,4200,4,420,4,10000
RMV Extension,3 BHK,2000,3,175,3,8750
Sarjapur,2 BHK,1242.5,2,43.49,2,3500.201207
Tejaswini Nagar,3 BHK,1425,2,75,3,5263.157895
Electronic City,3 BHK,1500,2,64.5,3,4300
Electronic City,2 BHK,1060,2,60,2,5660.377358
Jai Bheema Nagar,3 BHK,1470,2,70,3,4761.904762
Kothnur Narayanapura,6 BHK,1300,6,99,6,7615.384615
Attibele,1 BHK,450,1,11,1,2444.444444
Electronic City,2 BHK,1152,2,64.5,2,5598.958333
Electronic City,3 BHK,1350,2,56,3,4148.148148
CV Raman Nagar,3 BHK,1550,3,65,3,4193.548387
CHIKKATIRUPATHI,3 Bedroom,1500,3,100,3,6666.666667
Kumaraswami Layout,5 Bedroom,600,3,85,5,14166.66667
Nagavara,1 Bedroom,400,1,14,1,3500
Malleshwaram,1 BHK,705,1,67,1,9503.546099
Electronic City,2 BHK,770,1,36,2,4675.324675
Hulimavu,2 BHK,1242,2,51,2,4106.280193
Hebbal Kempapura,3 BHK,1700,3,155,3,9117.647059
Thanisandra,3 BHK,2144,3,145,3,6763.059701
Vijayanagar,3 BHK,1704,3,110,3,6455.399061
Electronic City,2 BHK,1070,2,52,2,4859.813084
8th block Koramangala,3 Bedroom,1846,3,300,3,16251.35428
Jakkuru Layout,2 BHK,1340,2,55.7,2,4156.716418
Electronic City,2 BHK,1025,2,46,2,4487.804878
KR Puram,2 BHK,1277.5,2,56.8,2,4446.183953
Marathahalli,2 BHK,1200,2,52,2,4333.333333
Kanakpura Road,4 Bedroom,2250,4,110,4,4888.888889
Pattandur Agrahara,3 BHK,1550,2,80,3,5161.290323
Bellandur,4 Bedroom,1200,5,325,4,27083.33333
Ejipura,7 Bedroom,1800,7,250,7,13888.88889
Marathahalli,2 BHK,1200,2,60,2,5000
Yelahanka,2 BHK,1327,2,98,2,7385.079126
Kothanur,2 BHK,1186,2,58,2,4890.387858
MS Pallya,3 Bedroom,1783,3,115,3,6449.803702
HSR Layout,3 BHK,1400,3,56,3,4000
Nagasandra,2 BHK,980,2,48,2,4897.959184
EPIP Zone,2 BHK,1285,2,82,2,6381.322957
Langford Town,3 BHK,912,2,70,3,7675.438596
Whitefield,2 BHK,1225,2,47.6,2,3885.714286
Whitefield,2 BHK,1075,2,53,2,4930.232558
Kadugodi,3 BHK,1260,2,54,3,4285.714286
Yelahanka,3 BHK,1282,2,48.7,3,3798.75195
Kogilu,3 BHK,1909,3,88,3,4609.743321
Panathur,2 BHK,1359,2,87,2,6401.766004
Nagondanahalli,2 BHK,1207,2,43.5,2,3603.976802
Padmanabhanagar,4 Bedroom,1736,6,190,4,10944.70046
1st Block Jayanagar,4 BHK,2850,4,428,4,15017.54386
Kammasandra,3 BHK,1595,3,65,3,4075.23511
"Off Sarjapur Road, ",3 BHK,1798,3,89,3,4949.944383
Electronics City Phase 1,3 BHK,1475,3,78.29,3,5307.79661
Tala Cauvery Layout,3 BHK,1580,3,100,3,6329.113924
Dasarahalli,2 BHK,1295,2,65,2,5019.305019
Magadi Road,6 Bedroom,3600,6,141,6,3916.666667
Electronic City,1 BHK,589,1,27,1,4584.040747
Ngef Layout,3 BHK,1415,3,78,3,5512.367491
Sarjapur  Road,3 BHK,1787,3,98.29,3,5500.279799
Sarjapur  Road,3 BHK,1787,3,125,3,6994.963626
Koramangala,3 BHK,1475,2,90,3,6101.694915
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4,75.5,4,3775
Sarjapur  Road,2 BHK,984,2,44.28,2,4500
Muthurayya Swamy Layout,3 BHK,2405,4,260,3,10810.81081
7th Phase JP Nagar,2 BHK,1080,2,72,2,6666.666667
Shantiniketan Layout,2 Bedroom,1500,2,115,2,7666.666667
Hebbal,3 BHK,1900,3,119,3,6263.157895
Dommasandra,2 BHK,805,2,22.14,2,2750.310559
Budigere,2 BHK,1153,2,56.4,2,4891.587164
Dodda Nekkundi Extension,2 BHK,1148,2,60,2,5226.480836
Mylasandra,2 BHK,1110,2,55,2,4954.954955
Electronic City,2 BHK,1100,2,42,2,3818.181818
Kalyan nagar,2 BHK,1290,2,110,2,8527.131783
Dr Shivarama Karantha Nagar,3 BHK,1500,2,65,3,4333.333333
Bank Of Baroda Colony,2 BHK,1080,2,39,2,3611.111111
Vijayanagar,3 BHK,1933,3,129,3,6673.564408
Ramamurthy Nagar,5 Bedroom,3500,5,150,5,4285.714286
Kullappa Colony,2 BHK,1060,2,60,2,5660.377358
Chandapura,1 BHK,645,1,16.45,1,2550.387597
Mukkutam Nagar,8 Bedroom,2600,8,180,8,6923.076923
Chandapura,1 BHK,645,1,16.45,1,2550.387597
Ashwath Nagar,3 BHK,1644,3,84,3,5109.489051
Ncpr Industrial Layout,2 BHK,1285,2,72.5,2,5642.023346
Electronic City,3 Bedroom,1200,3,90,3,7500
Electronic City,2 BHK,910,2,40,2,4395.604396
Kothanur,3 BHK,1577,3,70,3,4438.807863
Meenakunte,3 Bedroom,4050,3,280,3,6913.580247
OMBR Layout,3 BHK,2420,3,185,3,7644.628099
Chandapura,2 BHK,800,1,20,2,2500
Anand Nagar,2 BHK,1060,2,55,2,5188.679245
7th Phase JP Nagar,2 BHK,1270,2,93,2,7322.834646
Shree Ananth Nagar Layout,2 BHK,900,2,22.5,2,2500
Kundalahalli Colony,2 Bedroom,1280,2,69,2,5390.625
Horamavu Agara,4 Bedroom,1200,2,95,4,7916.666667
Sarjapur  Road,2 BHK,1025,2,36,2,3512.195122
Electronic City,2 BHK,1108,2,63,2,5685.920578
MCECHS  layout,5 Bedroom,1200,5,170,5,14166.66667
Coffee Board Layout,3 BHK,3045,3,170,3,5582.922824
Ambedkar Nagar,4 Bedroom,2900,3,300,4,10344.82759
Vijayanagar,3 BHK,1500,3,75.5,3,5033.333333
Raja Rajeshwari Nagar,2 BHK,1295,2,43.9,2,3389.96139
Budigere,2 BHK,1162,2,59.9,2,5154.905336
Sarjapur  Road,2 BHK,1035,2,49.2,2,4753.623188
Attibele,4 Bedroom,1600,4,52.8,4,3300
KUDLU MAIN ROAD,3 BHK,1464,3,46,3,3142.076503
Hennur Road,3 BHK,1866,2,61.58,3,3300.107181
Geleyara Balaga Layout,2 BHK,700,1,26,2,3714.285714
Kalena Agrahara,3 BHK,1804,3,120,3,6651.884701
Sarjapur,2 BHK,913,2,32,2,3504.928806
Talaghattapura,3 BHK,1868,3,131,3,7012.847966
Kengeri Satellite Town,2 BHK,883,2,45,2,5096.262741
Sundara Nagar,2 Bedroom,900,2,110,2,12222.22222
Kogilu,3 BHK,1664,2,73.95,3,4444.110577
Hegde Nagar,3 BHK,2026,3,132,3,6515.301086
Balagere,2 BHK,1210,2,80.9,2,6685.950413
Meenakunte,4 Bedroom,4111,4,250,4,6081.245439
Kadugodi,3 BHK,1762,3,91.45,3,5190.124858
Jigani,3 BHK,1252,3,55,3,4392.971246
Gollarapalya Hosahalli,2 BHK,861,2,34.5,2,4006.968641
7th Phase JP Nagar,3 BHK,1420,2,100,3,7042.253521
Srirampura,6 Bedroom,1450,6,250,6,17241.37931
Electronics City Phase 1,3 BHK,1490,3,78.8,3,5288.590604
Bisuvanahalli,3 BHK,1075,2,46,3,4279.069767
Old Madras Road,3 BHK,1425,2,94,3,6596.491228
Kalena Agrahara,2 BHK,1200,2,40,2,3333.333333
Kaggadasapura,3 BHK,1280,2,56,3,4375
Silver Springs Layout,2 BHK,1084,2,50,2,4612.546125
Chandapura,2 BHK,1015,2,25.88,2,2549.753695
Kanakpura Road,2 BHK,1017,2,51.25,2,5039.331367
Haralur Road,2 BHK,1027,2,44,2,4284.323272
Electronic City Phase II,2 BHK,1069,2,45,2,4209.541628
Hebbal,2 BHK,1349,2,98.2,2,7279.466271
9th Phase JP Nagar,2 BHK,1005,2,50,2,4975.124378
Jakkur,2 BHK,1417,2,75,2,5292.872265
TC Palaya,3 Bedroom,1475,3,98,3,6644.067797
Maruthi Sevanagar,2 BHK,950,2,47,2,4947.368421
RMV 2nd Stage,4 BHK,2000,4,120,4,6000
Giri Nagar,3 Bedroom,880,3,140,3,15909.09091
Sarjapur  Road,4 BHK,1863,3,104,4,5582.393988
Singasandra,2 BHK,1010,2,29.5,2,2920.792079
Kalena Agrahara,3 BHK,1425,2,70,3,4912.280702
Vijayanagar,3 BHK,1450,3,100,3,6896.551724
Kothanur,3 BHK,1847,3,105,3,5684.894423
AECS Layout,2 BHK,1100,2,45,2,4090.909091
Kanakpura Road,1 BHK,525,1,26,1,4952.380952
Mallasandra,3 BHK,1665,3,95,3,5705.705706
Begur,4 BHK,1664,4,65,4,3906.25
JP Nagar,3 BHK,1850,3,150,3,8108.108108
Panathur,2 BHK,1438,2,100,2,6954.102921
Sunder Ram Shetty Nagar,3 BHK,1560,3,115,3,7371.794872
Yelahanka,2 BHK,1350,2,55.55,2,4114.814815
Kanakpura Road,3 BHK,1550,3,67,3,4322.580645
Malleshpalya,2 BHK,1140,2,46.5,2,4078.947368
Srirampura,5 Bedroom,1200,5,180,5,15000
Kodathi,2 BHK,850,2,27,2,3176.470588
Whitefield,2 BHK,1280,2,75,2,5859.375
Munnekollal,2 BHK,1170,2,52,2,4444.444444
Motappa Layout,2 BHK,1113,2,51,2,4582.210243
Hennur Road,2 BHK,1385,2,83.09,2,5999.277978
Electronic City,2 BHK,1128,2,65,2,5762.411348
Marathahalli,2 Bedroom,1200,2,128,2,10666.66667
Akshaya Vana,4 Bedroom,1200,4,165,4,13750
Rajaji Nagar,3 BHK,2390,3,415,3,17364.01674
Giri Nagar,4 Bedroom,2400,4,400,4,16666.66667
Haralur Road,3 BHK,1464,3,56,3,3825.136612
Manayata Tech Park,2 BHK,1200,2,55,2,4583.333333
Kaval Byrasandra,2 BHK,1200,2,52,2,4333.333333
Kaggalipura,3 BHK,1150,2,55,3,4782.608696
Basavanna Nagar,3 BHK,1645,3,95,3,5775.075988
Sarjapur  Road,2 BHK,1000,2,67,2,6700
Haralur Road,4 Bedroom,2650,4,198,4,7471.698113
6th Phase JP Nagar,2 BHK,1192,2,74,2,6208.053691
Ulsoor,3 BHK,2135,3,215,3,10070.25761
Whitefield,2 BHK,1173,2,58,2,4944.58653
Uttarahalli,2 BHK,1020,2,45,2,4411.764706
Thigalarapalya,4 BHK,3122,6,230,4,7367.072389
Somasundara Palya,3 BHK,1600,3,64,3,4000
T.C PALYA,2 Bedroom,1200,2,79,2,6583.333333
Muneshwara Nagar,2 BHK,1230,2,48,2,3902.439024
 Devarachikkanahalli,2 BHK,1250,2,40,2,3200
Kalena Agrahara,2 BHK,1325,2,76,2,5735.849057
7th Phase JP Nagar,3 BHK,1850,3,150,3,8108.108108
Basaveshwara Nagar,2 BHK,1200,2,65,2,5416.666667
Bull Temple Road,3 Bedroom,1350,2,140,3,10370.37037
Bommasandra,3 BHK,1260,3,49.36,3,3917.460317
Prashanth Nagar,3 BHK,1800,3,150,3,8333.333333
Suragajakkanahalli,3 Bedroom,11,3,74,3,672727.2727
Ardendale,2 BHK,1100,2,43.25,2,3931.818182
Harlur,2 BHK,1508,2,77,2,5106.100796
Sampigehalli,3 BHK,1592,3,75,3,4711.055276
Akshaya Nagar,2 BHK,1388,2,57,2,4106.628242
Electronic City Phase II,1 BHK,630,1,28.35,1,4500
RMV,3 Bedroom,2000,3,365,3,18250
Banashankari3rd stage bigbazar,3 BHK,1762,3,125,3,7094.211124
Bagalur Main Road,2 BHK,950,2,50,2,5263.157895
Kodihalli,4 BHK,3252,5,335,4,10301.35301
Magadi Road,2 BHK,1116,2,50,2,4480.286738
Narayanapura,2 BHK,1308,2,89.04,2,6807.33945
MS Pallya,3 BHK,1200,3,90,3,7500
Binny Mills Employees Colony,4 Bedroom,1500,4,230,4,15333.33333
Bannerghatta Road,1 BHK,500,1,18.5,1,3700
Hennur,2 BHK,1075,2,52,2,4837.209302
Chandapura,1 BHK,530,1,11.66,1,2200
Bellandur,2 BHK,1205,2,66,2,5477.178423
5th Phase JP Nagar,2 BHK,1075,2,60,2,5581.395349
KR Puram,2 BHK,930,2,39,2,4193.548387
Balagere,2 BHK,1380,2,60,2,4347.826087
Hebbal,4 BHK,2483,5,212,4,8538.0588
Kodigehaali,2 BHK,1166,2,55,2,4716.981132
Bannerghatta Road,2 BHK,1050,2,65,2,6190.47619
Gopalapura,3 BHK,2023.71,3,275,3,13588.90355
Begur Road,2 BHK,1200,2,46.8,2,3900
Lakshminarayana Pura,3 BHK,1600,2,108,3,6750
Billekahalli,3 BHK,1935,3,110,3,5684.754522
8th Phase JP Nagar,1 BHK,451,1,29.9,1,6629.711752
Electronic City,3 BHK,1800,3,95,3,5277.777778
Jalahalli,3 BHK,1400,3,77,3,5500
Hegde Nagar,3 BHK,1801,3,115,3,6385.341477
Mahadevpura,2 BHK,1451,2,90,2,6202.618884
Anekal,2 Bedroom,1200,1,36,2,3000
Begur Road,2 BHK,1160,2,44,2,3793.103448
Kengeri,2 BHK,1000,2,25,2,2500
Kanakpura Road,2 BHK,950,2,40,2,4210.526316
"Hoodi Circle, ",3 BHK,1629,3,79,3,4849.600982
Vijayanagar,3 BHK,1580,2,134,3,8481.012658
Vijayanagar,3 BHK,1826,3,121,3,6626.506024
7th Phase JP Nagar,2 BHK,1245,2,94,2,7550.200803
Raja Rajeshwari Nagar,2 BHK,1145,2,45.79,2,3999.126638
Sompura,2 BHK,825,2,33,2,4000
Yeshwanthpur,3 BHK,1693,3,108,3,6379.208506
Electronics City Phase 1,2 BHK,1113.27,2,53,2,4760.749863
Ashirvad Colony,2 BHK,1460,2,58,2,3972.60274
Doddathoguru,2 BHK,1050,2,32,2,3047.619048
Dodda Nekkundi,2 BHK,1260,2,55,2,4365.079365
K N Extension,6 BHK,700,3,120,6,17142.85714
Hosur Road,2 BHK,1656,2,120,2,7246.376812
Chandapura,3 BHK,1208,3,45,3,3725.165563
Whitefield,3 BHK,1910,3,161,3,8429.319372
Whitefield,4 BHK,3252,4,230,4,7072.570726
Battarahalli,2 Bedroom,1200,2,65,2,5416.666667
Gokula Extension,4 BHK,1200,4,175,4,14583.33333
7th Phase JP Nagar,2 BHK,1175,2,82,2,6978.723404
Kamakshipalya,2 Bedroom,1000,2,165,2,16500
Bannerghatta Road,4 Bedroom,1200,2,125,4,10416.66667
Rajaji Nagar,3 BHK,2390,3,410,3,17154.81172
Rajaji Nagar,7 BHK,12000,6,2200,7,18333.33333
Sultan Palaya,2 Bedroom,550,1,62,2,11272.72727
Sanne Amanikere,2 BHK,1185,2,38,2,3206.751055
Kengeri,2 BHK,750,2,38,2,5066.666667
Mahalakshmi Layout,6 Bedroom,1200,7,250,6,20833.33333
Kanakpura Road,3 BHK,1550,3,64.5,3,4161.290323
Amco Colony,3 BHK,1760,3,88,3,5000
Billekahalli,2 BHK,1125,2,62,2,5511.111111
Nagarbhavi,3 Bedroom,1350,3,150,3,11111.11111
Anandapura,2 Bedroom,1000,2,55,2,5500
Bommasandra Industrial Area,2 BHK,1090,2,31.48,2,2888.073394
TC Palaya,2 Bedroom,1200,2,60,2,5000
Budigere,3 BHK,1991,4,103,3,5173.279759
Bommasandra,2 BHK,1060,2,26.5,2,2500
Ambalipura,2 BHK,1105,2,75,2,6787.330317
Hoodi,2 BHK,985,2,67,2,6802.030457
Chandapura,6 Bedroom,1533,5,85,6,5544.683627
Balagere,3 BHK,1590,3,79,3,4968.553459
CV Raman Nagar,2 BHK,1120,2,55,2,4910.714286
Samethanahalli,2 BHK,1069,2,55,2,5144.995323
Marathahalli,3 BHK,1933,3,140,3,7242.628039
Hosur Road,2 BHK,1194,2,69,2,5778.894472
Brookefield,2 BHK,1150,2,69,2,6000
Yelenahalli,2 BHK,1240,2,47.12,2,3800
Raja Rajeshwari Nagar,2 BHK,1419,2,48.1,2,3389.711064
7th Phase JP Nagar,8 Bedroom,1200,8,250,8,20833.33333
Richmond Town,3 BHK,2150,4,240,3,11162.7907
Suddaguntepalya,3 BHK,1450,3,55,3,3793.103448
Udayapur Village,3 BHK,1630,3,68.29,3,4189.570552
Dasanapura,2 BHK,708,1,40,2,5649.717514
Kasavanhalli,3 Bedroom,1000,4,110,3,11000
Whitefield,4 Bedroom,11890,4,700,4,5887.300252
Bellandur,2 BHK,1250,2,76,2,6080
7th Phase JP Nagar,3 BHK,1400,2,95,3,6785.714286
Sarjapur  Road,3 BHK,1670,2,57,3,3413.173653
Ardendale,3 BHK,1750,3,100,3,5714.285714
Vittasandra,2 BHK,1404,2,71,2,5056.980057
Hoodi,3 BHK,1715,2,95,3,5539.358601
Electronic City,1 BHK,630,1,34.65,1,5500
Harlur,3 BHK,1752.12,3,135,3,7704.951716
Hulimavu,3 BHK,1650,3,78,3,4727.272727
Raja Rajeshwari Nagar,2 BHK,1295,2,55.47,2,4283.397683
Giri Nagar,3 Bedroom,1800,3,252,3,14000
Sarjapur  Road,2 BHK,1346,2,74.03,2,5500
Thippasandra,4 Bedroom,1200,4,200,4,16666.66667
Hormavu,2 BHK,1150,2,55,2,4782.608696
Chikkabidarakallu,4 Bedroom,3309,4,325,4,9821.698398
Chandapura,3 BHK,1190,2,30.35,3,2550.420168
AECS Layout,3 BHK,1620,3,98,3,6049.382716
Marathahalli,2 BHK,950,2,46.96,2,4943.157895
1 Giri Nagar,11 BHK,5000,9,360,11,7200
Harlur,3 BHK,2450,3,120,3,4897.959184
Electronic City Phase II,3 BHK,1220,2,35.23,3,2887.704918
Hoysalanagar,2 BHK,850,2,30,2,3529.411765
Padmanabhanagar,2 BHK,1020,2,63,2,6176.470588
Chikkalasandra,2 BHK,1100,2,50,2,4545.454545
Defence Colony,2 BHK,1150,2,126,2,10956.52174
Hebbal,3 BHK,1760,2,130,3,7386.363636
Ambalipura,3 BHK,1800,3,110,3,6111.111111
Akshaya Nagar,2 BHK,1070,2,54,2,5046.728972
2nd Stage Nagarbhavi,4 Bedroom,1500,4,220,4,14666.66667
Vidyaranyapura,2 Bedroom,1440,2,95,2,6597.222222
Amruthahalli,2 BHK,900,2,40,2,4444.444444
ITI Employees Layout,4 BHK,1200,4,230,4,19166.66667
Whitefield,2 BHK,1130,2,42.16,2,3730.973451
Koramangala,2 BHK,1320,2,165,2,12500
